Symbol,url
FTNT,https://www.sec.gov/Archives/edgar/data/1262039/000126203920000011/ftnt-201910xk.htm
FTV,https://www.sec.gov/Archives/edgar/data/1659166/000165916620000071/a20191231-10k.htm
FBHS,https://www.sec.gov/Archives/edgar/data/1519751/000156459020006812/fbhs-10k_20191231.htm
FOXA,https://www.sec.gov/Archives/edgar/data/1754301/000156459019031285/fox-10k_20190630.htm
FOX,https://www.sec.gov/Archives/edgar/data/1754301/000156459019031285/fox-10k_20190630.htm
BEN,https://www.sec.gov/Archives/edgar/data/38777/000003877719000186/form10k93019.htm
FCX,https://www.sec.gov/Archives/edgar/data/831259/000083125920000004/a2019form10-k.htm
GPS,https://www.sec.gov/Archives/edgar/data/39911/000003991119000023/fy201810-k.htm
GRMN,https://www.sec.gov/Archives/edgar/data/1121788/000156459020005133/grmn-10k_20191228.htm
IT,https://www.sec.gov/Archives/edgar/data/749251/000074925120000008/it-12312019x10k.htm
GNRC,https://www.sec.gov/Archives/edgar/data/1474735/000143774920003516/gnrc20191231_10k.htm
GD,https://www.sec.gov/Archives/edgar/data/40533/000004053320000015/gd-2019123110k.htm
GE,https://www.sec.gov/Archives/edgar/data/40545/000004054520000009/ge10-k2019.htm
GIS,https://www.sec.gov/Archives/edgar/data/40704/000119312519184675/d725716d10k.htm
GM,https://www.sec.gov/Archives/edgar/data/1467858/000146785820000028/gm201910k.htm
GPC,https://www.sec.gov/Archives/edgar/data/40987/000004098720000010/gpc-12312019x10k.htm
GILD,https://www.sec.gov/Archives/edgar/data/882095/000088209520000006/a2019form10-k.htm
GL,https://www.sec.gov/Archives/edgar/data/320335/000032033520000008/gl-20191231.htm
GPN,https://www.sec.gov/Archives/edgar/data/1123360/000112336020000009/gpn20191231-10k.htm
GS,https://www.sec.gov/Archives/edgar/data/886982/000119312520043853/d826673d10k.htm
GWW,https://www.sec.gov/Archives/edgar/data/277135/000027713520000007/gww20191231-10k.htm
HAL,https://www.sec.gov/Archives/edgar/data/45012/000004501220000031/hal12312019-10k.htm
HBI,https://www.sec.gov/Archives/edgar/data/1359841/000135984120000027/hbi-20191228x10k.htm
HIG,https://www.sec.gov/Archives/edgar/data/874766/000087476620000020/hig1231201910-kdocument.htm
HAS,https://www.sec.gov/Archives/edgar/data/46080/000004608020000028/has-20191229x10k.htm
HCA,https://www.sec.gov/Archives/edgar/data/860730/000119312520043524/d864235d10k.htm
PEAK,https://www.sec.gov/Archives/edgar/data/765880/000162828020001456/healthpeak10-k12312019.htm
HSIC,https://www.sec.gov/Archives/edgar/data/1000228/000100022820000018/hsic-20191228.htm
HSY,https://www.sec.gov/Archives/edgar/data/47111/000004711120000007/a2019form10-kq4.htm
HES,https://www.sec.gov/Archives/edgar/data/4447/000156459020005545/hes-10k_20191231.htm
HPE,https://www.sec.gov/Archives/edgar/data/1645590/000164559019000044/hpe-10312019x10k.htm
HLT,https://www.sec.gov/Archives/edgar/data/1585689/000158568920000013/hlt-20191231.htm
HFC,https://www.sec.gov/Archives/edgar/data/48039/000004803920000015/hfc12-31x201910k.htm
HOLX,https://www.sec.gov/Archives/edgar/data/859737/000085973719000026/holxq4-2019.htm
