,gvkey,lpermno,datadate,fyear,tic,sic,sic3,td,long_debt_dum,me,l_a,l_sale,div_d,age,atr,smalltaxlosscarry,largetaxlosscarry,l_emp,l_ppent,l_laborratio,Inv,Ch_Cash,Div,Ch_Debt,Ch_Eqty,Ch_WC,CF,td_a,td_mv,mb,prof_a,ppe_a,cash_a,xrd_a,dltt_a,invopps_FG09,sales_g,dv_a,short_debt
3169,179957,93079.0,2019-12-31,2019.0,ECHO,4731.0,473.0,193.583,1.0,542.961,6.7174006,7.6893606,0.0,0.0,0.32141876,,,1.2638443,4.3727083,3.4282408,0.028982684,-0.0068419413,0.0,-0.041026242,-0.037630673,-0.009457266,0.10079766,0.23417316,0.2628261,1.1931239,0.08946056,0.09466701,0.041886326,0.0,0.22714494,0.87355644,,0.0,0.030012967
3170,180016,13343.0,2019-12-31,2019.0,MRC,5051.0,505.0,752.0,1.0,1110.4052,7.7514753,8.205765,1.0,0.0,0.4090909,0.0,1.0,1.4350846,5.7838254,4.617593,0.0068817204,-0.004731183,0.010322581,-0.057204302,-0.03483871,-0.05075269,0.104516126,0.32344085,0.40377894,1.2014645,0.07870968,0.13935484,0.013763441,0.0,0.30709678,0.92736346,,0.010322581,0.050531916
3171,180057,15222.0,2019-12-31,2019.0,IOVA,2836.0,283.0,11.5,1.0,3499.0842,5.842544,,0.0,0.0,1.0,1.0,0.0,0.1380213,3.007216,4.8670664,-0.26120323,-0.1820168,0.0,0.0,0.017788803,-0.029037734,-0.46100885,0.0333667,0.003275808,10.2849865,-0.5968374,0.055797826,0.89098084,0.48170778,0.012325369,10.06898,,0.0,0.6306087
3172,180083,92852.0,2019-12-31,2019.0,LOPE,8200.0,820.0,169.521,1.0,4607.978,7.432655,6.6575527,0.0,0.0,0.18370593,0.0,0.0,1.6770966,5.000612,3.5236795,0.24012166,-0.035166178,0.0,0.04884786,-0.02371902,-0.0013394159,0.17982665,0.10029113,0.035483208,2.8721917,0.17494819,0.08726555,0.08529488,0.0,0.078858115,2.7991095,,0.0,0.21370804
3173,180112,92679.0,2019-12-31,2019.0,SB,4412.0,441.0,601.049,1.0,177.2267,7.016289,5.3311815,1.0,0.0,0.0,0.0,0.0,0.0069756135,6.872128,9.931146,0.033001598,0.026958408,0.010312719,0.02354117,-0.0037258565,0.011188336,0.05045741,0.53923005,0.7722829,0.7349283,0.085083745,0.8648509,0.095436834,0.0,0.4817641,0.694366,,0.010312719,0.10657034
3174,180118,92688.0,2019-06-30,2019.0,SINO,4731.0,473.0,0.0,0.0,11.27409,3.0252426,3.7322023,0.0,0.0,1.0,1.0,0.0,0.026641931,0.6881346,3.6018682,0.00699063,-0.19204816,0.0,0.0,0.04126414,0.22811787,-0.22632167,0.0,0.0,0.58148843,-0.2628283,0.048060585,0.15258022,0.0,0.0,0.49698967,,0.0,
3175,180229,93065.0,2019-12-31,2019.0,MG,8711.0,871.0,318.77,1.0,413.04514,6.5790815,6.618186,0.0,0.0,0.41837028,1.0,0.0,1.8718022,4.979654,3.2680054,0.035117064,-0.0146247,0.0,-0.055730276,-0.0043979674,-0.009251568,0.0806206,0.44281113,0.43558815,1.1767287,0.09367004,0.20062289,0.02085909,0.004229883,0.41383818,0.9829441,,0.0,0.06542962
3176,180256,92748.0,2019-12-31,2019.0,NNA,4412.0,441.0,1173.117,1.0,134.9205,7.349845,5.635207,1.0,0.0,1.0,0.0,0.0,0.0,7.207305,,-0.002588121,-0.0016440065,0.007943032,-0.025277724,0.01019374,0.013067859,0.018794887,0.753953,0.89685273,0.88500214,0.07574641,0.8665103,0.02831123,0.0,0.6427975,0.82947195,,0.007943031,0.14743032
3177,180272,16917.0,2019-12-31,2019.0,BKI,7374.0,737.0,1570.3,1.0,9652.527,8.284706,7.0708942,0.0,0.0,0.27803582,,,1.7749523,5.3195896,3.7254474,0.13904311,-0.0012364995,0.0,0.049510445,-0.007015242,0.023039266,0.095311396,0.39626023,0.13992018,2.9567041,0.12322096,0.05130211,0.003886141,0.0,0.3731957,2.7527747,,0.0,0.058205437
3178,180363,93339.0,2019-12-31,2019.0,ALIM,2834.0,283.0,40.305,1.0,37.64228,3.918184,3.987928,0.0,0.0,1.0,1.0,0.0,0.119559236,1.1141576,2.7799435,0.0034586256,-0.0718758,0.0,0.043610487,0.017929198,0.0478642,-0.12995687,0.8011489,0.51708025,2.439728,-0.048400883,0.040688545,0.18801805,0.0073147947,0.7867578,2.1986444,,0.0,0.017963031
3179,180405,79678.0,2019-12-31,2019.0,ATVI,7372.0,737.0,2948.0,1.0,45679.72,9.895707,8.7778635,1.0,0.0,0.07960808,1.0,0.0,2.3223877,6.1862087,3.9649453,0.0011085916,0.07906274,0.014260519,0.0,0.0023179643,0.006147644,0.09211388,0.14855127,0.060623858,2.6565745,0.11655329,0.024439406,0.29543966,0.050289746,0.14537667,2.4196594,,0.014260519,0.02137042
