,tic,url,supply_chain_risk,regulatory_risk,inflationary_risk,macro_risk,debt_risk,liquidity_risk,doctype,gvkey,lpermno,datadate,fyear,sic,sic3,td,long_debt_dum,me,l_a,l_sale,div_d,age,atr,smalltaxlosscarry,largetaxlosscarry,l_emp,l_ppent,l_laborratio,Inv,Ch_Cash,Div,Ch_Debt,Ch_Eqty,Ch_WC,CF,td_a,td_mv,mb,prof_a,ppe_a,cash_a,xrd_a,dltt_a,invopps_FG09,sales_g,dv_a,short_debt,_merge
201,GPS,https://www.sec.gov/Archives/edgar/data/39911/000003991119000023/fy201810-k.htm,4.0,1.0,0.0,4.0,0.0,0.0,Risk Section,4990.0,59010.0,2019-01-31,2018.0,5651.0,565.0,1249.0,1.0,9616.32,8.993303,9.715953,1.0,0.0,0.24130106,1.0,0.0,4.912655,7.9769387,3.0713205,0.12436327,-0.047086593,0.046341162,0.0,-0.04658964,0.037768666,0.17020749,0.15517455,0.11495289,1.753301,0.24065101,0.36178407,0.17020749,0.006211952,0.15517455,,,0.046341162,0.0,both
202,GRMN,https://www.sec.gov/Archives/edgar/data/1121788/000156459020005133/grmn-10k_20191228.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section,141459.0,88837.0,2019-12-31,2019.0,3812.0,381.0,64.0,1.0,18603.326,8.726935,8.23151,1.0,0.0,0.0351856,1.0,0.0,2.7725887,6.676466,3.967155,0.07309238,-0.028242692,0.067662984,0.0,0.00020042813,0.057207152,0.112312235,0.010378156,0.0034284503,3.239384,0.1692502,0.12851238,0.22767566,0.098165356,0.007984369,2.9965165,,0.067662984,0.23065625,both
203,IT,https://www.sec.gov/Archives/edgar/data/749251/000074925120000008/it-12312019x10k.htm,0.0,2.0,0.0,5.0,2.0,1.0,Risk Section,12441.0,79698.0,2019-12-31,2019.0,8700.0,870.0,3092.655,1.0,13739.248,8.875049,8.353573,0.0,0.0,0.15394631,1.0,0.0,2.8749197,6.955111,4.137312,0.022497326,0.01708404,0.0,-0.014623787,-0.025367856,-0.002968414,0.07957301,0.4324609,0.1837377,2.7899773,0.08268839,0.14647628,0.039270654,0.0,0.40222386,2.341344,,0.0,0.069918565,both
204,GNRC,https://www.sec.gov/Archives/edgar/data/1474735/000143774920003516/gnrc20191231_10k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section,183736.0,93246.0,2019-12-31,2019.0,3621.0,362.0,935.873,1.0,6293.4136,7.8882103,7.6981816,0.0,0.0,0.21076648,,,1.9004644,5.8690877,4.1277237,0.06380312,0.036914185,0.0,-0.014092898,0.00110929,0.023426013,0.11370091,0.35108373,0.12945579,2.9736252,0.16246279,0.13239679,0.12112644,0.025657348,0.32545114,2.6517854,,0.0,0.07300991,both
205,GD,https://www.sec.gov/Archives/edgar/data/40533/000004053320000015/gd-2019123110k.htm,2.0,2.0,0.0,1.0,1.0,1.0,Risk Section,5046.0,12052.0,2019-12-31,2019.0,3721.0,372.0,13787.0,1.0,51072.723,10.796326,10.580252,1.0,0.0,0.17087102,1.0,0.0,4.643429,8.748146,4.1142297,0.020351755,-0.0012489507,0.02358674,-0.01740341,-0.0047296328,0.027804509,0.064822584,0.28228334,0.21256644,1.76771,0.11037858,0.12894905,0.018468091,0.009541164,0.21596609,1.3133482,,0.02358674,0.23493145,both
206,GE,https://www.sec.gov/Archives/edgar/data/40545/000004054520000009/ge10-k2019.htm,6.0,7.0,0.0,16.0,13.0,12.0,10K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
207,GIS,https://www.sec.gov/Archives/edgar/data/40704/000119312519184675/d725716d10k.htm,3.0,2.0,0.0,2.0,2.0,0.0,Risk Section,5071.0,17144.0,2019-05-31,2018.0,2040.0,204.0,14490.0,1.0,29757.936,10.312653,9.733007,1.0,0.0,0.17344967,1.0,0.0,3.713572,8.239646,4.550503,0.018481495,0.001693722,0.039244533,-0.040549695,0.007980419,0.00071402005,0.091989025,0.48121628,0.3274729,1.7539865,0.11683028,0.1257738,0.0149446055,0.007369351,0.38606232,1.3995714,,0.039244533,0.19773637,both
208,GM,https://www.sec.gov/Archives/edgar/data/1467858/000146785820000028/gm201910k.htm,8.0,13.0,0.0,6.0,3.0,2.0,Risk Section,5073.0,12369.0,2019-12-31,2019.0,3711.0,371.0,104573.0,1.0,51240.0,12.337263,11.829465,1.0,0.0,0.10251966,,,5.1059456,10.709606,6.213449,0.047794875,-0.002425045,0.010305345,-0.011099076,0.0,0.015721133,0.06677425,0.4585791,0.67114425,1.0414319,0.082074404,0.35917416,0.11662581,0.029819721,0.29352254,,,0.010305345,0.3599304,both
209,GPC,https://www.sec.gov/Archives/edgar/data/40987/000004098720000010/gpc-12312019x10k.htm,5.0,1.0,0.0,2.0,0.0,0.0,Risk Section,5125.0,46674.0,2019-12-31,2019.0,5013.0,501.0,4522.397,1.0,15443.505,9.591897,9.872632,1.0,0.0,0.25197518,1.0,0.0,4.0253515,7.737072,3.7293022,0.03845557,-0.0038615617,0.029967304,0.00951813,-0.005844747,0.0018732551,0.06088793,0.30878818,0.22650602,1.8035706,0.09578899,0.15641199,0.018912947,0.0,0.24769323,1.3499612,,0.029967302,0.19785392,both
210,GILD,https://www.sec.gov/Archives/edgar/data/882095/000088209520000006/a2019form10-k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section,24856.0,77274.0,2019-12-31,2019.0,2836.0,283.0,25318.0,1.0,82264.68,11.028855,10.019001,1.0,0.0,0.0,1.0,0.0,2.5494452,8.550821,6.0825286,0.12684375,-0.10237396,0.052282277,0.0,-0.024989046,0.05955182,0.10174112,0.4108264,0.23533528,1.9693751,0.10532721,0.0838918,0.40032777,0.14775991,0.36866957,,,0.052282277,0.10261474,both
211,GL,https://www.sec.gov/Archives/edgar/data/320335/000032033520000008/gl-20191231.htm,0.0,6.0,1.0,0.0,4.0,3.0,Risk Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
212,GPN,https://www.sec.gov/Archives/edgar/data/1123360/000112336020000009/gpn20191231-10k.htm,2.0,8.0,0.0,16.0,21.0,5.0,Risk Section,141913.0,88873.0,2019-12-31,2019.0,7374.0,737.0,10075.038,1.0,54809.258,10.702799,8.499414,1.0,0.0,0.12619647,1.0,0.0,3.218876,7.5069227,4.328319,0.020617865,0.010507942,0.0014275578,0.010852951,-0.007856222,0.0057204156,0.029556636,0.22650632,0.15527698,1.605967,0.043285634,0.04090817,0.03773082,0.0,0.21330525,0.96966106,,0.0014275578,0.05828127,both
